C_NUM,COUNTRY_NAME,HALE_ALL,UNIV_CARE,WBANK_INCOME,HALE_2000,BIRTHS_ATTEND,IHR_CORE_CAP,AVG_TEMPC,FEMALE_22,RURAL_22,COVID_VAX100,WHO_REGION,ISO_ALPHA3
103,Malaysia,63.9,yes,Upper-middle,64,100,89,26.38,48.9,21.79,81.18,Western Pacific,MYS
104,Maldives,66.7,yes,Upper-middle,62.4,100,65,28.11,42.47,58.46,73.53,Southeast Asian,MDV
105,Mali,53.6,no,Low,45.6,67,36,29.21,49.51,54.56,16.08,African,MLI
106,Malta,70.7,no,High,68.5,100,69,19.58,47.87,5.13,88.43,European,MLT
107,Marshall Islands,NA,no,Upper-middle,NA,92,53,28.01,48.95,21.48,NA,Western Pacific,MHL
108,Mauritania,60.4,no,Lower-middle,54.4,70,27,28.82,50.99,43.08,32.53,African,MRT
109,Mauritius,63.6,yes,Upper-middle,61.9,100,38,23.33,50.69,59.19,83.74,African,MUS
110,Mexico,61.4,yes,Upper-middle,64.6,88,79,21.31,51.22,18.7,64.19,Americas,MEX
111,Micronesia (Federated States of),57.9,no,Lower-middle,54.5,NA,53,27.28,49.73,76.78,NA,Western Pacific,FSM
112,Monaco,NA,no,High,NA,NA,78,13.53,50.99,0,70.34,European,MCO
113,Mongolia,61.3,no,Lower-middle,53.8,99,66,1.07,50.41,31.07,64.02,Western Pacific,MNG
114,Montenegro,65.1,no,Upper-middle,65.2,99,55,9.93,51.31,31.84,45.43,European,MNE
115,Morocco,62.3,yes,Lower-middle,60.7,87,74,18.14,49.67,35.4,62.8,Eastern Mediterranean,MAR
116,Mozambique,49.7,no,Low,43.6,68,55,24.41,50.94,61.81,64.7,African,MOZ
117,Myanmar,59.8,no,Lower-middle,52.9,60,63,23.82,50.23,68.23,66.33,Southeast Asian,MMR
118,Namibia,52.8,no,Upper-middle,46.6,NA,66,20.45,51.75,46.04,21.46,African,NAM
119,Nauru,NA,no,High,NA,NA,38,27.83,49.2,0,89.4,Western Pacific,NRU
120,Nepal,60.2,no,Lower-middle,56.3,80,48,14.17,52.05,78.55,80.11,Southeast Asian,NPL
121,Netherlands (Kingdom of the),70,yes,High,68.8,NA,84,10.49,50.3,7.11,67,European,NLD
122,New Zealand,70,yes,High,67.8,96,85,10.46,50.43,13.12,82.77,Western Pacific,NZL
123,Nicaragua,64.6,no,Lower-middle,63.7,94,60,25.88,50.73,40.44,88.17,Americas,NIC
124,Niger,52.6,no,Low,44.2,44,57,28.04,49.28,83.11,20.92,African,NER
125,Nigeria,54.9,no,Lower-middle,46.5,51,61,27.3,49.46,46.48,37.2,African,NGA
126,North Macedonia,63.7,no,Upper-middle,63.2,100,68,10.79,50.16,40.88,40.04,European,MKD
127,Norway,71.2,yes,High,68.4,99,96,2.21,49.54,16.34,74.61,European,NOR
